dev-foa,2019
baseline,20.0,65.1,0.57,58.0
cSE,22.3,64.7,0.60,56.4
sSE,23.1,65.5,0.57,59.2
scSE,21.8,66.0,0.57,57.9
dev-foa,2020
baseline,23.8,57.8,0.75,35.2
cSE,25.4,56.1,0.79,31.1
sSE,27.5,58.8,0.81,29.2
scSE,25.2,57.8,0.77,31.7
dev-mic,2019
baseline,21.2,64.8,0.54,61.0
cSE,22.4,65.7,0.59,54.4
sSE,26.0,64.5,0.60,55.1
scSE,20.4,63.6,0.58,56.3
dev-mic,2020
baseline,25.4,60.7,0.75,35.6
cSE,25.3,54.2,0.78,30.5
sSE,31.7,54.8,0.85,23.2
scSE,24.7,56.3,0.75,34.8
eval-foa,2019
baseline,20.0,67.0,0.53,61.0
cSE,20.4,66.4,0.58,56.9
sSE,20.2,66.9,0.53,61.9
scSE,19.5,67.4,0.52,62.1
eval-foa,2020
baseline,22.0,60.8,0.70,39.0
cSE,23.2,56.8,0.75,34.4
sSE,24.2,61.8,0.72,37.9
scSE,22.4,61.8,0.69,40.0
eval-mic,2019
baseline,18.9,67.8,0.52,61.6
cSE,20.4,68.6,0.54,59.3
sSE,20.0,67.0,0.53,62.7
scSE,19.9,68.2,0.52,61.4
eval-mic,2020
baseline,23.6,61.5,0.69,40.6
cSE,23.6,59.1,0.71,37.7
sSE,25.3,62.6,0.70,39.1
scSE,22.1,61.0,0.68,40.9
